Año,Mes,Día,Maxima T,Minima T,Promedio T,AVERAGE de Wind speed,MAX de Hi speed,AVERAGE de Bar  ,AVERAGE de Rain rate,MAX de UV  index,AVERAGE de Solar rad,,,,,,,,,,,,,,,,,,
2017,8,28,"7,8","3,3","5,457142857","5,0","20,9","943,4666667","0,0",3,"176,1428571",,,,,,,,,,,,,,,,,,
2017,8,29,"7,1","3,4","4,63125","9,1","35,4","949,85","0,0","3,5","172,28125",,,,,,,,,,,,Año,SUM de Maxima T,SUM de MAX de UV  index,MIN de Promedio T,MAX de Minima T,AVERAGE de AVERAGE de Wind speed,MAX de AVERAGE de Bar  
2017,8,30,"10,1","4,6","8,045454545","3,6","20,9","1013,081818","0,0","3,6","207,6363636",,,,,,,,,,,,2017,"1999,2","825,3","4,075","15,4","6,4","1027,052083"
2017,8,31,"9,3","3,3","5,483333333","5,4","46,7","1008,858333","1,4","1,3","41,97916667",,,,,,,,,,,,2018,"5223,2","1655,7","-6,316666667","17,8","5,5","931,175"
2017,9,1,"6,1","1,4","4,075","3,2","22,5","1007,508333","3,1","1,7","39,3125",,,,,,,,,,,,2019,"5579,1","1807,9","0,4","17,9","5,6","928,2354167"
2017,9,2,"8,2","3,2","5,525","3,4","20,9","1017,116667","0,0","3,3","101,9791667",,,,,,,,,,,,2020,"5655,1","720,3","-0,3268115942","18,7",#DIV/0!,#DIV/0!
2017,9,3,"9,5","1,4","4,84375","3,3","22,5","1020,927083","0,0","3,6","133,4166667",,,,,,,,,,,,2021,"4648,1","1334,5","-2,364285714","16,6",#DIV/0!,#DIV/0!
2017,9,4,"8,6","1,4","4,54375","3,3","19,3","1024,752083","0,0","3,7","160,6666667",,,,,,,,,,,,2022,"4089,9","1047,2","-0,61875","16,1","8,4","1030,233333"
2017,9,5,"9,9","2,1","5,172916667","4,8","29,0","1015,339583","0,0","3,5","95,33333333",,,,,,,,,,,,,,,,,,
2017,9,6,"7,8","2,4","5,327083333","6,6","33,8","1015,854167","0,3",4,"163,1041667",,,,,,,,,,,,,,,,,,
2017,9,7,"11,7","0,3","4,76875","5,2","20,9","1013,114583","0,0","4,2","154,5",,,,,,,,,,,,,,,,,,
2017,9,8,"7,2","1,1","4,5125","7,0","33,8","1014,516667","0,0","3,6","147,3333333",,,,,,,,,,,,,,,,,,
2017,9,9,"12,9","-1,3","5,083333333","6,8","35,4","1018,877083","0,0","3,7","160,375",,,,,,,,,,,,,,,,,,
2017,9,10,"8,8","-1,1","4,25625","5,7","32,2","1018,1875","0,0","3,3","126,9583333",,,,,,,,,,,,,,,,,,
2017,9,11,"11,4","4,4","7,047916667","6,0","30,6","1018,425","0,0",4,"168,625",,,,,,,,,,,,,,,,,,
2017,9,12,"16,1","-0,6","6,625","5,3","24,1","1017,447917","0,0","4,6","172,9166667",,,,,,,,,,,,,,,,,,
2017,9,13,"8,7",5,"6,689583333","9,2","51,5","1012,9875","0,1","3,3","80,47916667",,,,,,,,,,,,,,,,,,
2017,9,14,"6,2","2,1","4,514583333","8,5","30,6","1021,458333","0,4","4,3","148,2083333",,,,,,,,,,,,,,,,,,
2017,9,15,"14,3","-0,9","5,6625","3,7","20,9","1027,052083","0,0","5,7","182,6875",,,,,,,,,,,,,,,,,,
2017,9,16,"15,1","1,3","7,089583333","2,7","17,7","1019,816667","0,0","6,4","183,5833333",,,,,,,,,,,,,,,,,,
2017,9,17,"19,4","0,2","8,59375","1,8","17,7","1012,86875","0,0","5,9","188,8541667",,,,,,,,,,,,,,,,,,
2017,9,18,"20,8","2,9","10,37291667","2,3","12,9","1008,51875","0,0","5,2","186,8125",,,,,,,,,,,,,,,,,,
2017,9,19,"11,3","6,8","9,13125","5,3","32,2","1010,560417","0,0","2,5","57,16666667",,,,,,,,,,,,,,,,,,
2017,9,20,"9,8","5,9","7,679166667","9,2","38,6","1020,952083","0,0","5,1","195,1666667",,,,,,,,,,,,,,,,,,
2017,9,21,"16,8","2,2","8,16875","5,1","32,2","1020,779167","0,0","4,7","174,4791667",,,,,,,,,,,,,,,,,,
2017,9,22,"15,5","7,2","10,475","4,9","24,1","1018,20625","0,0","5,2","191,8125",,,,,,,,,,,,,,,,,,
2017,9,23,"17,6","2,1","9,1875","3,3","30,6","1012,066667","0,0","4,8",154,,,,,,,,,,,,,,,,,,
2017,9,24,"11,6","6,7","9,470833333","11,6","38,6","1012,483333","0,0","4,5","128,8541667",,,,,,,,,,,,,,,,,,
2017,9,25,"11,7","1,8","6,272916667","4,1","24,1","1020,897917","0,0","3,3",104,,,,,,,,,,,,,,,,,,
2017,9,26,"15,9","-1,4","6,379166667","3,9","30,6","1020,10625","0,0",5,"198,8333333",,,,,,,,,,,,,,,,,,
2017,9,27,"17,9","0,2","9,70625","7,8","38,6","1016,614583","0,0","5,1","191,9166667",,,,,,,,,,,,,,,,,,
2017,9,28,"15,8","8,2","12,1375","6,4","32,2","1010,989583","0,0","2,9","107,3541667",,,,,,,,,,,,,,,,,,
2017,9,29,"11,7","3,1","7,710416667","4,2","30,6","1006,533333","1,3","2,3","48,9375",,,,,,,,,,,,,,,,,,
2017,9,30,"9,6","2,8","5,766666667","5,4","35,4","1003,733333","1,0","2,9","72,52083333",,,,,,,,,,,,,,,,,,
2017,10,1,"8,6","5,1","7,072916667","9,7","41,8","1008,504167","0,0","2,2","67,22916667",,,,,,,,,,,,,,,,,,
2017,10,2,"8,1","4,1","6,308333333","11,4","56,3","1009,004167","0,8",3,"64,91666667",,,,,,,,,,,,,,,,,,
2017,10,3,"10,3","2,6","6,695833333","7,9","48,3","1003,75625","1,5","2,1",63,,,,,,,,,,,,,,,,,,
2017,10,4,"9,4","4,8","6,629166667","11,3","54,7","991,7875","0,6","4,1","104,8333333",,,,,,,,,,,,,,,,,,
2017,10,5,"7,4","1,7","4,966666667","9,1","49,9","999,59375","1,6","1,7","32,35416667",,,,,,,,,,,,,,,,,,
2017,10,6,"12,7","4,7","7,429166667","7,3","37,0","1016,70625","0,0","5,8","195,4166667",,,,,,,,,,,,,,,,,,
2017,10,7,"13,9","2,3","6,98125","6,2","35,4","1011,691667","0,0","6,5","213,7708333",,,,,,,,,,,,,,,,,,
2017,10,8,"10,6","6,8","8,125","7,1","35,4","1014,847917","0,0","3,8","119,6041667",,,,,,,,,,,,,,,,,,
2017,10,9,"9,1","2,3","5,958333333","9,9","37,0","1015,227083","0,0","6,3",222,,,,,,,,,,,,,,,,,,
2017,10,10,"9,3","3,8","5,654166667","3,8","24,1","1014,879167","0,0","4,3","134,25",,,,,,,,,,,,,,,,,,
2017,10,11,"15,1","2,9","8,208333333","5,0","32,2","1020,58125","0,0",6,"226,2708333",,,,,,,,,,,,,,,,,,
2017,10,12,"18,4","0,1","8,191666667","2,5","17,7","1020,102083","0,0","6,2","245,6041667",,,,,,,,,,,,,,,,,,
2017,10,13,"18,6","4,5","10,79166667","8,0","30,6","992,875","0,0","6,7","250,125",,,,,,,,,,,,,,,,,,
2017,10,14,"21,0","9,9","14,13125","6,2","24,1","944,8104167","0,0","7,7","237,4375",,,,,,,,,,,,,,,,,,
2017,10,15,"27,6","3,6","13,59375","3,3","24,1","938,53125","0,0","7,7","251,0833333",,,,,,,,,,,,,,,,,,
2017,10,16,"15,3","9,4","12,2","5,4","33,8","935,1541667","0,0","6,8","127,75",,,,,,,,,,,,,,,,,,
2017,10,17,"12,2","5,7","9,70625","6,7","27,4","937,3354167","0,3","4,1","115,6041667",,,,,,,,,,,,,,,,,,
2017,10,18,"11,2","4,4","7,727083333","8,4","37,0","943,2020833","0,4","6,8","267,1041667",,,,,,,,,,,,,,,,,,
2017,10,19,"10,9","4,5","7,752083333","8,3","33,8","942,5875","0,0",6,"224,1041667",,,,,,,,,,,,,,,,,,
2017,10,20,"10,4","5,5","7,5625","8,3","32,2","942,8375","0,0","6,7","220,7083333",,,,,,,,,,,,,,,,,,
2017,10,21,"17,3",1,"8,708333333","4,3","29,0","948,6541667","0,0",7,"272,0208333",,,,,,,,,,,,,,,,,,
2017,10,22,"18,4","1,2","9,179166667","4,1","38,6","941,8583333","0,0","7,5","239,5625",,,,,,,,,,,,,,,,,,
2017,10,23,"13,7","6,7","9,997916667","6,5","33,8","938,8083333","0,0","4,6","107,7083333",,,,,,,,,,,,,,,,,,
2017,10,24,"12,7","7,1","9,572916667","7,4","32,2","942,4104167","0,0","7,8","189,25",,,,,,,,,,,,,,,,,,
2017,10,25,"13,1","6,8","9,966666667","5,2","30,6","942,0333333","0,0",8,"190,25",,,,,,,,,,,,,,,,,,
2017,10,26,"13,8","7,7","10,48333333","6,0","27,4","942,4833333","0,0",7,"191,8333333",,,,,,,,,,,,,,,,,,
2017,10,27,"16,3","8,2","11,86875","5,4","29,0","939,7833333","0,0","8,3","283,1875",,,,,,,,,,,,,,,,,,
2017,10,28,"11,3","2,4","6,004166667","5,6","35,4","933,0041667","0,8","3,9","87,83333333",,,,,,,,,,,,,,,,,,
2017,10,29,"6,8","2,3","4,1375","4,6","41,8","937,0354167","1,1","3,6","70,22916667",,,,,,,,,,,,,,,,,,
2017,10,30,"10,4","5,4","7,716666667","9,3","45,1","941,5041667","0,0","5,1","115,375",,,,,,,,,,,,,,,,,,
2017,10,31,"8,0",5,"6,49375","3,2","19,3","939,5791667","0,3","2,3","53,60416667",,,,,,,,,,,,,,,,,,
2017,11,1,"12,5","4,1","8,002083333","4,1","29,0","938,01875","0,2","7,6","216,8958333",,,,,,,,,,,,,,,,,,
2017,11,2,"12,7","5,2","8,177083333","4,6","24,1","939,4708333","0,0","5,4","174,9791667",,,,,,,,,,,,,,,,,,
2017,11,3,"12,8","6,3","9,2875","6,1","30,6","941,8583333","0,0","7,4","277,0625",,,,,,,,,,,,,,,,,,
2017,11,4,"13,9","4,8","8,34375","3,9","32,2","939,8583333","0,7",4,"118,375",,,,,,,,,,,,,,,,,,
2017,11,5,"15,3","7,8","10,7375","2,0","16,1","940,9395833","0,2","5,4",114,,,,,,,,,,,,,,,,,,
2017,11,6,"17,5","7,2","11,40416667","1,8","14,5","942,8145833","0,0","6,6","155,5416667",,,,,,,,,,,,,,,,,,
2017,11,7,"16,1","9,8","11,95416667","3,4","29,0","940,6854167","0,2","6,5","130,6458333",,,,,,,,,,,,,,,,,,
2017,11,8,"18,3","5,4","11,30833333","5,1","30,6","942,1125","0,0","8,6",311,,,,,,,,,,,,,,,,,,
2017,11,9,"15,8","6,7","10,76875","6,0","32,2","942,7333333","0,1","5,7","168,4166667",,,,,,,,,,,,,,,,,,
2017,11,10,"21,3","5,9","13,18125","5,0","22,5","943,6479167","0,0","9,1","313,25",,,,,,,,,,,,,,,,,,
2017,11,11,"23,0",6,"14,10208333","6,1","29,0","940,625","0,0","9,2","300,7291667",,,,,,,,,,,,,,,,,,
2017,11,12,"21,7","9,7","15,5","5,2","27,4","939,2166667","0,0","9,8","273,5208333",,,,,,,,,,,,,,,,,,
2017,11,13,"23,4","8,6","15,49583333","4,1","25,7","939,4729167","0,0",10,"312,7083333",,,,,,,,,,,,,,,,,,
2017,11,14,"18,3","7,1","13,64791667","8,6","33,8","937,0020833","0,0","9,5",306,,,,,,,,,,,,,,,,,,
2017,11,15,"11,0","5,7","8,1875","11,7","41,8","942,9229167","0,0","8,1","275,9166667",,,,,,,,,,,,,,,,,,
2017,11,16,"12,0","7,4","9,802083333","10,6","49,9","939,41875","0,1","3,4","87,02083333",,,,,,,,,,,,,,,,,,
2017,11,17,"10,9","5,7","8,0125","10,8","38,6","943,0270833","0,0","8,2","341,0416667",,,,,,,,,,,,,,,,,,
2017,11,18,"14,0","5,4","9,310416667","10,4","40,2","942,3041667","0,0","8,8","227,2916667",,,,,,,,,,,,,,,,,,
2017,11,19,"14,8","7,7","11,05833333","8,7","29,0","940,19375","0,0","9,2","271,0416667",,,,,,,,,,,,,,,,,,
2017,11,20,"17,6","4,5","10,86666667","7,4","27,4","941,6270833","0,0","8,7","332,3541667",,,,,,,,,,,,,,,,,,
2017,11,21,"19,2","6,4","12,54791667","7,8","29,0","945,1604167","0,0","9,6","326,2708333",,,,,,,,,,,,,,,,,,
2017,11,22,"19,1","7,9","13,20833333","8,7","33,8","940,8875","0,0","8,8","330,375",,,,,,,,,,,,,,,,,,
2017,11,23,"19,8","6,7","12,63333333","7,3","30,6","940,8020833","0,0","9,1","334,0208333",,,,,,,,,,,,,,,,,,
2017,11,24,"18,9","6,2","12,3625","8,1","32,2","942,9104167","0,0",9,"312,3958333",,,,,,,,,,,,,,,,,,
2017,11,25,"24,7","8,8","15,85208333","6,2","25,7","943,9","0,0","9,8","328,4583333",,,,,,,,,,,,,,,,,,
2017,11,26,"19,8","10,2","15,02083333","8,2","32,2","940,1375","0,0","9,3","333,25",,,,,,,,,,,,,,,,,,
2017,11,27,"26,3","4,2","15,78541667","6,2","32,2","943,5104167","0,0","9,1","332,625",,,,,,,,,,,,,,,,,,
2017,11,28,"28,2","7,2","18,07916667","4,5","27,4","938,9354167","0,0",9,"334,3333333",,,,,,,,,,,,,,,,,,
2017,11,29,"21,3","11,6","16,49166667","6,9","29,0","924,7041667","0,0","8,7","271,3541667",,,,,,,,,,,,,,,,,,
2017,11,30,"22,3","8,3","15,36666667","5,2","24,1","910,63125","0,0","8,7","338,75",,,,,,,,,,,,,,,,,,
2017,12,1,"26,7","6,1","16,53125","7,6","41,8","909,9729167","0,0","8,5","332,8541667",,,,,,,,,,,,,,,,,,
2017,12,2,"24,5","13,6","17,62708333","5,5","27,4","909,1395833","0,2","8,2","231,7291667",,,,,,,,,,,,,,,,,,
2017,12,3,"16,2","11,7","13,81041667","3,1","35,4","914,2958333","0,5","3,2","73,72916667",,,,,,,,,,,,,,,,,,
2017,12,4,"25,9","6,6","15,56458333","3,6","29,0","911,5645833","0,0","9,9","335,6666667",,,,,,,,,,,,,,,,,,
2017,12,5,"27,7","8,9","17,475","3,3","27,4","907,7020833","0,0","9,4","314,7083333",,,,,,,,,,,,,,,,,,
2017,12,6,"24,4","12,8","18,68958333","6,4","29,0","908,5416667","0,0","9,7","346,6875",,,,,,,,,,,,,,,,,,
2017,12,7,"22,4","9,8","16,33125","7,3","32,2","908,1229167","0,0","10,7","346,1666667",,,,,,,,,,,,,,,,,,
2017,12,8,"19,9","10,6","15,32291667","8,8","41,8","908,4541667","0,0",10,"347,8958333",,,,,,,,,,,,,,,,,,
2017,12,9,"20,1","11,9","15,68125","8,3","32,2","912,2354167","0,0","7,9","223,6458333",,,,,,,,,,,,,,,,,,
2017,12,10,"30,8","15,4","20,89166667","6,6","38,6","909,9458333","0,0","10,5",341,,,,,,,,,,,,,,,,,,
2017,12,11,"29,0","11,1","18,81458333","3,9","27,4","905,38125","0,0","9,5","307,2916667",,,,,,,,,,,,,,,,,,
2017,12,12,"20,4","15,1","17,7","6,9","35,4","907,7416667","0,0","9,3","294,9166667",,,,,,,,,,,,,,,,,,
