Año,Mes,Día,Max_T,Min_T,Av_Temp,Hi_speed,Bar  ,Rain,Rain_rate,UV_index,Solar_rad
2017,8,28,"7,80","3,30","5,46","20,90","943,47","0,00","0,00","3,00","176,14"
2017,8,29,"7,10","3,40","4,63","35,40","949,85","0,00","0,00","3,50","172,28"
2017,8,30,"10,10","4,60","8,05","20,90","1.013,08","0,00","0,00","3,60","207,64"
2017,8,31,"9,30","3,30","5,48","46,70","1.008,86","21,60","1,40","1,30","41,98"
2017,9,1,"6,10","1,40","4,08","22,50","1.007,51","43,00","3,14","1,70","39,31"
2017,9,2,"8,20","3,20","5,53","20,90","1.017,12","0,20","0,00","3,30","101,98"
2017,9,3,"9,50","1,40","4,84","22,50","1.020,93","0,60","0,05","3,60","133,42"
2017,9,4,"8,60","1,40","4,54","19,30","1.024,75","0,20","0,00","3,70","160,67"
2017,9,5,"9,90","2,10","5,17","29,00","1.015,34","0,60","0,04","3,50","95,33"
2017,9,6,"7,80","2,40","5,33","33,80","1.015,85","2,60","0,25","4,00","163,10"
2017,9,7,"11,70","0,30","4,77","20,90","1.013,11","0,00","0,00","4,20","154,50"
2017,9,8,"7,20","1,10","4,51","33,80","1.014,52","0,00","0,00","3,60","147,33"
2017,9,9,"12,90","-1,30","5,08","35,40","1.018,88","0,00","0,00","3,70","160,38"
2017,9,10,"8,80","-1,10","4,26","32,20","1.018,19","0,00","0,00","3,30","126,96"
2017,9,11,"11,40","4,40","7,05","30,60","1.018,43","0,00","0,00","4,00","168,63"
2017,9,12,"16,10","-0,60","6,63","24,10","1.017,45","0,00","0,00","4,60","172,92"
2017,9,13,"8,70","5,00","6,69","51,50","1.012,99","1,20","0,11","3,30","80,48"
2017,9,14,"6,20","2,10","4,51","30,60","1.021,46","2,80","0,35","4,30","148,21"
2017,9,15,"14,30","-0,90","5,66","20,90","1.027,05","0,00","0,00","5,70","182,69"
2017,9,16,"15,10","1,30","7,09","17,70","1.019,82","0,00","0,00","6,40","183,58"
2017,9,17,"19,40","0,20","8,59","17,70","1.012,87","0,00","0,00","5,90","188,85"
2017,9,18,"20,80","2,90","10,37","12,90","1.008,52","0,00","0,00","5,20","186,81"
2017,9,19,"11,30","6,80","9,13","32,20","1.010,56","0,00","0,00","2,50","57,17"
2017,9,20,"9,80","5,90","7,68","38,60","1.020,95","0,00","0,00","5,10","195,17"
2017,9,21,"16,80","2,20","8,17","32,20","1.020,78","0,00","0,00","4,70","174,48"
2017,9,22,"15,50","7,20","10,48","24,10","1.018,21","0,00","0,00","5,20","191,81"
2017,9,23,"17,60","2,10","9,19","30,60","1.012,07","0,00","0,00","4,80","154,00"
2017,9,24,"11,60","6,70","9,47","38,60","1.012,48","0,00","0,00","4,50","128,85"
2017,9,25,"11,70","1,80","6,27","24,10","1.020,90","0,00","0,00","3,30","104,00"
2017,9,26,"15,90","-1,40","6,38","30,60","1.020,11","0,00","0,00","5,00","198,83"
2017,9,27,"17,90","0,20","9,71","38,60","1.016,61","0,00","0,00","5,10","191,92"
2017,9,28,"15,80","8,20","12,14","32,20","1.010,99","0,00","0,00","2,90","107,35"
2017,9,29,"11,70","3,10","7,71","30,60","1.006,53","12,60","1,31","2,30","48,94"
2017,9,30,"9,60","2,80","5,77","35,40","1.003,73","11,00","1,04","2,90","72,52"
