Año,Mes,Día,Maxima T,Minima T,Promedio T,MAX de Hi speed,AVERAGE de Bar  ,SUM de Rain,AVERAGE de Rain rate,MAX de UV  index,AVERAGE de Solar rad
2017,8,28,"7,800","3,300","5,457","20,900","943,467","0,000","0,000","3,000","176,143"
2017,8,29,"7,100","3,400","4,631","35,400","949,850","0,000","0,000","3,500","172,281"
2017,8,30,"10,100","4,600","8,045","20,900","1013,082","0,000","0,000","3,600","207,636"
2017,8,31,"9,300","3,300","5,483","46,700","1008,858","21,600","1,400","1,300","41,979"
2017,9,1,"6,100","1,400","4,075","22,500","1007,508","43,000","3,142","1,700","39,313"
2017,9,2,"8,200","3,200","5,525","20,900","1017,117","0,200","0,000","3,300","101,979"
2017,9,3,"9,500","1,400","4,844","22,500","1020,927","0,600","0,046","3,600","133,417"
2017,9,4,"8,600","1,400","4,544","19,300","1024,752","0,200","0,000","3,700","160,667"
2017,9,5,"9,900","2,100","5,173","29,000","1015,340","0,600","0,038","3,500","95,333"
2017,9,6,"7,800","2,400","5,327","33,800","1015,854","2,600","0,254","4,000","163,104"
2017,9,7,"11,700","0,300","4,769","20,900","1013,115","0,000","0,000","4,200","154,500"
2017,9,8,"7,200","1,100","4,513","33,800","1014,517","0,000","0,000","3,600","147,333"
2017,9,9,"12,900","-1,300","5,083","35,400","1018,877","0,000","0,000","3,700","160,375"
2017,9,10,"8,800","-1,100","4,256","32,200","1018,188","0,000","0,000","3,300","126,958"
2017,9,11,"11,400","4,400","7,048","30,600","1018,425","0,000","0,000","4,000","168,625"
2017,9,12,"16,100","-0,600","6,625","24,100","1017,448","0,000","0,000","4,600","172,917"
2017,9,13,"8,700","5,000","6,690","51,500","1012,988","1,200","0,113","3,300","80,479"
2017,9,14,"6,200","2,100","4,515","30,600","1021,458","2,800","0,354","4,300","148,208"
2017,9,15,"14,300","-0,900","5,663","20,900","1027,052","0,000","0,000","5,700","182,688"
2017,9,16,"15,100","1,300","7,090","17,700","1019,817","0,000","0,000","6,400","183,583"
2017,9,17,"19,400","0,200","8,594","17,700","1012,869","0,000","0,000","5,900","188,854"
2017,9,18,"20,800","2,900","10,373","12,900","1008,519","0,000","0,000","5,200","186,813"
2017,9,19,"11,300","6,800","9,131","32,200","1010,560","0,000","0,000","2,500","57,167"
2017,9,20,"9,800","5,900","7,679","38,600","1020,952","0,000","0,000","5,100","195,167"
